experiment,Date,Time,Months,Ring,Plot,Rep,Mesh,Trt,InitialMass.g,RemainingMass.g,propMassRem,propMassRem.trans
expt1,2013-12-04,6,6.6,R3,1,2,2mm,ambient,2.02,0.83,0.41089108910891087,0.6958106734398014
expt1,2013-12-04,6,6.6,R3,2,1,2mm,ambient,2.03,0.95,0.4679802955665025,0.7533565327627723
expt1,2013-12-04,6,6.6,R3,2,2,2mm,ambient,1.99,0.95,0.4773869346733668,0.7627773821618626
expt1,2013-12-04,6,6.6,R3,3,1,2mm,ambient,2.09,1.14,0.5454545454545454,0.8309155524161559
expt1,2013-12-04,6,6.6,R3,3,2,2mm,ambient,2.03,1.02,0.5024630541871922,0.7878612275463847
expt1,2013-12-04,6,6.6,R3,4,1,2mm,ambient,2.03,0.99,0.4876847290640394,0.773081646917007
expt1,2013-12-04,6,6.6,R3,4,2,2mm,ambient,2.06,1.1,0.5339805825242718,0.8194049582377527
expt1,2013-12-04,6,6.6,R4,1,1,2mm,elevated,2.02,0.67,0.3316831683168317,0.613728356349107
expt1,2013-12-04,6,6.6,R4,1,2,2mm,elevated,2.07,0.86,0.41545893719806765,0.7004490076231052
expt1,2013-12-04,6,6.6,R4,2,1,2mm,elevated,2,1.15,0.575,0.8606822997857912
expt1,2013-12-04,6,6.6,R4,2,2,2mm,elevated,2.05,0.89,0.4341463414634147,0.719352611221452
expt1,2013-12-04,6,6.6,R4,3,1,2mm,elevated,2.09,0.97,0.4641148325358852,0.7494821170016078
expt1,2013-12-04,6,6.6,R4,3,2,2mm,elevated,2.08,0.79,0.3798076923076923,0.6640171306596078
expt1,2013-12-04,6,6.6,R4,4,1,2mm,elevated,2.05,0.77,0.37560975609756103,0.6596876870167787
expt1,2013-12-04,6,6.6,R4,4,2,2mm,elevated,2.08,0.83,0.3990384615384615,0.6837376396222209
expt1,2013-12-04,6,6.6,R5,1,1,2mm,elevated,2.07,0.94,0.45410628019323673,0.739439756117605
expt1,2013-12-04,6,6.6,R5,1,2,2mm,elevated,2.04,1.1,0.5392156862745099,0.8246541671303363
expt1,2013-12-04,6,6.6,R5,2,1,2mm,elevated,2.02,0.94,0.4653465346534653,0.7507168952098503
expt1,2013-12-04,6,6.6,R5,2,2,2mm,elevated,2.03,1.2,0.5911330049261084,0.8770434509301035
expt1,2013-12-04,6,6.6,R5,3,1,2mm,elevated,2.02,0.95,0.47029702970297027,0.7556776946745946
expt1,2013-12-04,6,6.6,R5,3,2,2mm,elevated,2.05,1.01,0.49268292682926834,0.77808082903296
expt1,2013-12-04,6,6.6,R5,4,1,2mm,elevated,2.04,0.88,0.43137254901960786,0.7165533872453339
expt1,2013-12-04,6,6.6,R5,4,2,2mm,elevated,2,0.95,0.475,0.7603877349945632
expt1,2013-12-04,6,6.6,R6,1,1,2mm,ambient,2.09,0.92,0.4401913875598087,0.7254459983262579
expt1,2013-12-04,6,6.6,R6,1,2,2mm,ambient,2.05,1.01,0.49268292682926834,0.77808082903296
expt1,2013-12-04,6,6.6,R6,2,1,2mm,ambient,1.99,0.99,0.49748743718592964,0.7828855900087655
expt1,2013-12-04,6,6.6,R6,2,2,2mm,ambient,2.02,0.92,0.45544554455445546,0.740784532912594
expt1,2013-12-04,6,6.6,R6,3,1,2mm,ambient,2.07,0.56,0.2705314009661836,0.5469988579960294
expt1,2013-12-04,6,6.6,R6,3,2,2mm,ambient,2.01,0.73,0.36318407960199006,0.6468146802164512
expt1,2013-12-04,6,6.6,R6,4,1,2mm,ambient,2.04,0.97,0.47549019607843135,0.760878532988989
expt1,2013-12-04,6,6.6,R6,4,2,2mm,ambient,2,1.13,0.565,0.8505826532490209
expt1,2014-03-13,9,9.9,R1,1,1,2mm,elevated,2.01,0.73,0.36318407960199006,0.6468146802164512
expt1,2014-03-13,9,9.9,R1,1,2,2mm,elevated,2.01,0.37,0.18407960199004977,0.44343524384743666
expt1,2014-03-13,9,9.9,R1,2,1,2mm,elevated,2.05,0.55,0.26829268292682934,0.5444758101829859
expt1,2014-03-13,9,9.9,R1,2,2,2mm,elevated,2,0.35,0.175,0.4316059450347705
expt1,2014-03-13,9,9.9,R1,3,1,2mm,elevated,2.08,0.44,0.21153846153846154,0.47791986147002524
expt1,2014-03-13,9,9.9,R1,3,2,2mm,elevated,2.01,0.77,0.3830845771144279,0.6673902117197238
expt1,2014-03-13,9,9.9,R1,4,1,2mm,elevated,2.01,0.73,0.36318407960199006,0.6468146802164512
expt1,2014-03-13,9,9.9,R1,4,2,2mm,elevated,2.08,0.33,0.15865384615384615,0.40967773724475953
expt1,2014-03-13,9,9.9,R2,1,1,2mm,ambient,2.08,0.53,0.2548076923076923,0.529132652994426
expt1,2014-03-13,9,9.9,R2,1,2,2mm,ambient,2,0.7,0.35,0.6330518363897495
expt1,2014-03-13,9,9.9,R2,2,1,2mm,ambient,2.04,0.51,0.25,0.5235987755982988
expt1,2014-03-13,9,9.9,R2,2,2,2mm,ambient,2.05,0.57,0.2780487804878049,0.555423645924818
expt1,2014-03-13,9,9.9,R2,3,1,2mm,ambient,2.05,0.59,0.2878048780487805,0.5662539772367171
expt1,2014-03-13,9,9.9,R2,3,2,2mm,ambient,2.05,0.52,0.25365853658536586,0.5278130857447124
expt1,2014-03-13,9,9.9,R2,4,1,2mm,ambient,2.05,0.56,0.27317073170731715,0.5499649821831154
expt1,2014-03-13,9,9.9,R2,4,2,2mm,ambient,2.04,0.6,0.29411764705882354,0.573203309100855
expt1,2014-03-13,9,9.9,R3,1,1,2mm,ambient,2.04,0.74,0.3627450980392157,0.6463582205719062
expt1,2014-03-13,9,9.9,R3,1,2,2mm,ambient,2.02,0.89,0.4405940594059406,0.7258515624579649
expt1,2014-03-13,9,9.9,R3,2,1,2mm,ambient,1.99,0.76,0.38190954773869346,0.6661813258905044
expt1,2014-03-13,9,9.9,R3,2,2,2mm,ambient,2.03,0.7,0.3448275862068966,0.6276202888482684
expt1,2014-03-13,9,9.9,R3,3,1,2mm,ambient,2.05,0.78,0.38048780487804884,0.664717666800146
expt1,2014-03-13,9,9.9,R3,3,2,2mm,ambient,2.1,0.97,0.4619047619047619,0.7472659716176442
expt1,2014-03-13,9,9.9,R3,4,1,2mm,ambient,2.04,0.9,0.4411764705882353,0.7264380873848236
